,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
2998,IRWIN COUNTY HOSPITAL,710 NORTH IRWIN AVENUE,OCILLA,GA,31774,IRWIN,R,130.94,"2,457",34,"12,410",685,"12,566",64,"23,360",685,1667.0,34.0,12410.0,685.0,418573.0,4729430.0,2090909.0,2099985.0,6731051.0,10880462.0,248388.0,14151367.0,12820087.0,35447512.0,48267599.0,1705213.0,0,6731051.0,0,0,0,872580.0,0,0,8818997.0,-5092564.0,372838.0,334947.0,0,9542182.0,0.0,0,0,0,14759675.0,2440116.0,227163.0,34113.0,2866293.0,0,0,5567685.0,0,4788008.0,0,0,4788008.0,10355693.0,4403982.0,4403982.0,14759675.0,0,0,12815135.0,38108402.0,50923537.0,16108522.0,17611513.0,-1502991.0,1435601.0,-67390.0,0,-67390.0,0.29,2693106.0,11254148.0
2999,SOUTHERN REGIONAL MEDICAL CENTER,11 UPPER RIVERSIDE ROAD S.W.,RIVERDALE,GA,30274,CLAYTON,U,860.45,"41,670",244,"89,060","9,244","44,148",280,"102,200","9,471",29504.0,210.0,76650.0,9244.0,2874371.0,123733422.0,24593337.0,24593337.0,55772785.0,84147993.0,2440689.0,128019194.0,348719655.0,382546519.0,731266174.0,11913400.0,0,55772785.0,4104041.0,0,0,9431582.0,0,0,155446153.0,-135784398.0,2874949.0,298692.0,2199410.0,82825244.0,0.0,0,4873498.0,4873498.0,115107730.0,12659214.0,5495580.0,1026042.0,0,0,16518903.0,35699739.0,5576506.0,0,0,0,5576506.0,41276245.0,73831485.0,73831485.0,115107730.0,12465184.0,0,349021230.0,382244944.0,731266174.0,142991756.0,139920778.0,3070978.0,6022263.0,9093241.0,0,9093241.0,0.18,32600608.0,173653748.0
3000,PIEDMONT MOUNTAINSIDE HOSPITAL  INC.,1266 515  SOUTH,JASPER,GA,30143-4872,,U,418.31,"14,332",52,"19,032","3,325","14,332",52,"19,032","3,325",12358.0,46.0,16836.0,3325.0,7199403.0,2835290.0,10480425.0,10878169.0,30081281.0,67947878.0,1133707.0,76640988.0,135520531.0,355929749.0,491450280.0,6981354.0,0,30081281.0,554364.0,0,0,109944.0,0,0,43629384.0,-33059704.0,1906056.0,252043.0,0,12604062.0,0.0,0,17180483.0,17187046.0,58693116.0,19404583.0,2939288.0,0,0,0,26432.0,22370303.0,0,114788.0,0,0,114788.0,22485091.0,36208025.0,36208025.0,58693116.0,0,0,135520523.0,355930437.0,491450960.0,87354940.0,100835180.0,-13480240.0,12907025.0,-573215.0,-19152.0,-554063.0,0.16,5353047.0,46946803.0
3001,KATHERINE SHAW BETHEA,KATHERINE SHAW BETHEA HOSPITAL,DIXON,IL,61021,LEE,R,752.78,"7,010",66,"24,090","2,825","13,682",80,"29,200","3,416",6036.0,60.0,21900.0,2825.0,555764.0,21976807.0,6399781.0,15474867.0,64770173.0,81239614.0,6645809.0,111448604.0,118190755.0,326988376.0,445179131.0,17596277.0,0,64770173.0,746359.0,3777.0,145611.0,8062480.0,0,0,45906309.0,0,1411041.0,989785.0,0,58273129.0,0.0,28995471.0,1239757.0,30235228.0,141859284.0,6543943.0,9273177.0,0,1629017.0,0,10657761.0,28103898.0,0,20222730.0,0,19692506.0,39915236.0,68019134.0,73840150.0,73840150.0,141859284.0,829630.0,576803.0,118190755.0,364329563.0,482520318.0,138368732.0,146009787.0,-7641055.0,6002657.0,-1638398.0,0,-1638398.0,0.25,1726627.0,48858463.0
3002,MACNEAL HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,,R,"1,371.00","48,691",262,"95,892","12,355","64,120",324,"118,584","13,540",42725.0,245.0,89670.0,12355.0,7367569.0,2215947.0,8180388.0,33230740.0,111768499.0,150858284.0,16965853.0,199799488.0,609154472.0,773158383.0,1382312855.0,14431886.0,0,112456948.0,986438.0,0,1016428.0,75456207.0,0,0,290735249.0,-248730862.0,5981507.0,234597.0,474645.0,886602128.0,0.0,525042.0,140515188.0,141040230.0,1074112715.0,742242048.0,8212514.0,0,506445.0,1453110.0,42732303.0,823552627.0,0,0,0,314271014.0,314271014.0,1137823641.0,90150412.0,90150412.0,1227974053.0,16732446.0,4981258.0,645044385.0,844995220.0,1490039605.0,227639792.0,262626783.0,-34986991.0,46517564.0,11530573.0,0,11530573.0,0.14,20874144.0,317728632.0
3003,LITTLE COMPANY OF MARY,2800 WEST 95TH STREET,EVERGREEN PARK,IL,60642,COOK,R,"1,459.61","32,486",220,"47,300","6,681","42,587",244,"52,460","6,930",27871.0,184.0,39560.0,6681.0,4204142.0,2940724.0,9363162.0,10922375.0,59692312.0,95159070.0,9090875.0,133399522.0,308359776.0,328598288.0,636958064.0,13288028.0,0,61120696.0,2079781.0,29344.0,0,39539000.0,0,0,27680000.0,0,2104000.0,2381000.0,4598000.0,80367000.0,0.0,592416000.0,98923000.0,691339000.0,1006250000.0,7394000.0,19787000.0,0,5606000.0,0,12337000.0,45124000.0,180298000.0,0,0,69530000.0,249828000.0,294952000.0,708073000.0,711298000.0,1006250000.0,9039082.0,128039.0,308890330.0,334654704.0,643545034.0,103643954.0,155520146.0,-51876192.0,61540199.0,9664007.0,0,9664007.0,0.21,22369923.0,114257304.0
3004,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE,MATTOON,IL,61920-,COLES,R,"1,972.70","19,915",83,"30,378","6,443","54,619",103,"37,698","7,287",16910.0,74.0,27084.0,6443.0,1466846.0,15812776.0,9005221.0,29210346.0,161506947.0,190431333.0,22392034.0,203964384.0,238056925.0,625912992.0,863969917.0,28578841.0,0,161506947.0,0,4177.0,0,35637787.0,0,0,120277297.0,0,8517215.0,11142951.0,0,95309626.0,0.0,255456438.0,111076938.0,366533376.0,680049286.0,8715019.0,22768646.0,0,6268605.0,0,0,57171153.0,0,0,0,134445204.0,134445204.0,191616357.0,488432929.0,488432929.0,680049286.0,0,0,238056925.0,626746552.0,864803477.0,291733989.0,351938280.0,-60204291.0,100352969.0,40148678.0,0,40148678.0,0.24,10179388.0,154410718.0
3005,OSF HOLY FAMILY MED CTR,1000 WEST HARLEM AVENUE,MONMOUTH,IL,61462,WARREN,R,152.00,"1,276",23,"8,395",199,"30,374",23,"8,395",199,594.0,23.0,8395.0,199.0,471082.0,2161882.0,1689636.0,1689636.0,10534130.0,18765275.0,2101886.0,26181740.0,5690560.0,66049348.0,71739908.0,0,0,0,0,0,0,349835.0,0,0,11277899.0,-5644684.0,344555.0,42919.0,625948.0,6996472.0,0.0,21824397.0,6631798.0,28456195.0,53385225.0,649902.0,836284.0,0,0,18750.0,352193.0,1860231.0,0,0,0,196794.0,196794.0,2057025.0,51328200.0,51328200.0,53385225.0,0,0,6293435.0,69813551.0,76106986.0,33861145.0,29299405.0,4561740.0,3080542.0,7642282.0,0,7642282.0,0.36,5682708.0,14620308.0
3006,RIVERVIEW HOSPITAL,395 WESTFIELD ROAD,NOBLESVILLE,IN,46060-,HAMILTON,U,"1,125.54","16,978",125,"45,625","3,995","25,783",174,"63,510","4,484",12240.0,110.0,40150.0,3995.0,2980498.0,11993098.0,7585024.0,15456990.0,81435616.0,150107452.0,20094200.0,151766237.0,186344455.0,327231346.0,513575801.0,12938690.0,0,81535908.0,159328.0,0,0,9615828.0,0,0,37122479.0,0,5183109.0,0,18323031.0,70618012.0,0.0,49089444.0,6465432.0,55899233.0,296369878.0,9763526.0,10629313.0,0,5115393.0,0,81063433.0,106571665.0,0,59727799.0,0,796442.0,60524241.0,167095906.0,129273972.0,129273972.0,296369878.0,0,0,180160555.0,388672609.0,568833164.0,206509557.0,231543068.0,-25033511.0,20390532.0,-4642979.0,0,-4642979.0,0.3,8130817.0,54153284.0
3007,ST. JOSEPHS REG MED CENTER PLYMOUTH,1915 LAKE AVENUE,PLYMOUTH,IN,46563,MARSHALL,R,289.80,"5,348",45,"16,470","1,874","5,348",45,"16,470","1,874",3795.0,38.0,13908.0,1874.0,946328.0,7512855.0,3778307.0,3844415.0,17966580.0,37363505.0,4195448.0,52159912.0,42896970.0,141963653.0,184860623.0,6319430.0,0,18165611.0,415440.0,2853.0,0,1183.0,0,0,38392460.0,0,1224165.0,0,129910.0,39747718.0,0.0,0,50414666.0,50414666.0,109385838.0,39660234.0,3536514.0,0,357473.0,442357.0,5372302.0,49368880.0,0,0,0,6123548.0,6123548.0,55492428.0,53893410.0,53893410.0,109385838.0,2780602.0,0,44547445.0,146009650.0,190557095.0,54009601.0,55330085.0,-1320484.0,11509914.0,10189430.0,0,10189430.0,0.28,8292228.0,29622891.0
3008,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK ROAD,LAWRENCEBURG,IN,47025-,DEARBORN,U,552.17,"9,529",62,"22,630","2,931","17,467",62,"22,630","2,931",7135.0,54.0,19710.0,2931.0,70114.0,3912130.0,1520567.0,7887341.0,34176147.0,50169490.0,2712055.0,68389231.0,73592799.0,138469329.0,212062128.0,7584582.0,0,34176147.0,767824.0,0,0,7483647.0,0,0,50063983.0,-39362764.0,1365432.0,1107268.0,6910001.0,27567567.0,0.0,0,83314072.0,83314072.0,146999479.0,55668231.0,4505110.0,943168.0,800000.0,0,1073249.0,62989758.0,0,26397681.0,0,6896989.0,33294670.0,96284428.0,50715051.0,50715051.0,146999479.0,0,0,73337799.0,140377322.0,213715121.0,63180954.0,84345637.0,-21164683.0,10217994.0,-10946689.0,0,-10946689.0,0.32,-934391.0,16844808.0
3009,COLUMBUS REGIONAL HOSPITAL,2400 EAST 17TH STREET,COLUMBUS,IN,47201-,BARTHOLOMEW,U,"1,317.00","30,958",157,"57,305","8,565","34,559",175,"63,875","8,849",24854.0,140.0,51100.0,8565.0,5793810.0,14428459.0,15260026.0,32953100.0,86654304.0,196690631.0,22643562.0,247935038.0,255771161.0,457553068.0,713324229.0,25339662.0,64575.0,86092722.0,13890118.0,0,0,19630779.0,0,0,74146320.0,-34268933.0,5352422.0,4737862.0,2438651.0,74334114.0,0.0,157719205.0,16601288.0,174320493.0,397862078.0,12990290.0,9950110.0,983060.0,6780000.0,0,7895421.0,38598881.0,42670000.0,0,373942.0,0,43043942.0,81642823.0,316219255.0,316219255.0,397862078.0,0,0,255888486.0,459100836.0,714989322.0,310457161.0,293925098.0,16532063.0,33071467.0,49603530.0,1295208.0,48308322.0,0.35,10455863.0,101560363.0
3010,MONROE COUNTY MEDICAL CENTER,529 CAPP HARLAN ROAD,TOMPKINSVILLE,KY,42178,MONROE,R,205.32,"4,813",49,"17,934","1,186","4,813",49,"17,934","1,186",4329.0,49.0,17934.0,1186.0,50586.0,1250888.0,546467.0,914211.0,10364638.0,9678642.0,1162728.0,13965932.0,13215709.0,26422554.0,39638263.0,1212313.0,0,10364638.0,190006.0,0,0,370568.0,13608783.0,0,3488104.0,-1097975.0,325450.0,176203.0,190733.0,17430146.0,0.0,7375.0,9436.0,16811.0,26259887.0,246739.0,186560.0,36292.0,0,0,533402.0,1002993.0,0,0,0,103185.0,103185.0,1106178.0,25153709.0,25153709.0,26259887.0,0,0,13602363.0,31802343.0,45404706.0,18018885.0,20043280.0,-2024395.0,1386226.0,-638169.0,0,-638169.0,0.35,3062174.0,9757107.0
3011,ROCKCASTLE HOSPT. & RESPIR CARE CTR,145 NEWCOMB AVENUE,MT VERNON,KY,40456,ROCKCASTLE,R,415.86,"2,538",20,"7,300",634,"109,480",163,"53,655",634,2538.0,20.0,7300.0,634.0,12279.0,2194011.0,778890.0,2994262.0,34757744.0,34425053.0,3247518.0,65246837.0,110963945.0,75807344.0,186771289.0,7096804.0,147316.0,34757744.0,0,6261.0,0,11388390.0,0,0,26406573.0,-20714624.0,757265.0,291073.0,4398856.0,27760633.0,0.0,4612772.0,292186.0,4904958.0,82867215.0,814401.0,0,1028879.0,3641561.0,0,908665.0,6393506.0,0,18485724.0,0,733180.0,19218904.0,25612410.0,57254805.0,57254805.0,82867215.0,0,0,111092365.0,79503019.0,190595384.0,69691495.0,69182797.0,508698.0,3955746.0,4464444.0,0,4464444.0,0.35,6559615.0,25118686.0
3012,BAPTIST HEALTH LAGRANGE,1025 NEW MOODY LANE,LAGRANGE,KY,40031-,OLDHAM,U,391.55,"6,671",42,"15,372","1,950","10,481",66,"24,156","2,110",5199.0,35.0,12810.0,1950.0,739546.0,4624909.0,1463459.0,1463459.0,27029728.0,117660406.0,2543770.0,122126721.0,59591383.0,1222630854.0,1282222237.0,6510193.0,0,27029728.0,744469.0,0,0,409419.0,0,0,174087414.0,-145596148.0,4339183.0,0,326289.0,33784235.0,0.0,0,105043538.0,105043538.0,162592161.0,2014267.0,2091.0,0,0,0,1442830.0,3459188.0,0,0,0,13485527.0,13485527.0,16944715.0,145647446.0,145647446.0,162592161.0,0,0,59589397.0,1222632839.0,1282222236.0,174369467.0,161345102.0,13024365.0,11158713.0,24183078.0,0,24183078.0,0.1,12449374.0,111224407.0
3013,JENNINGS AMERICAN LEGION HOSPITAL,1634 ELTON ROAD,JENNINGS,LA,70546,JEFFERSON DAVIS,R,331.96,"10,434",49,"17,885","2,293","40,432",49,"17,885","2,293",7843.0,44.0,16060.0,2293.0,173713.0,2590695.0,1218462.0,1218462.0,21278788.0,24670197.0,1929557.0,41349743.0,45425089.0,79996615.0,125421704.0,3463833.0,234475.0,21278788.0,0,0,0,3292165.0,0,0,4373857.0,0,1661135.0,0,728481.0,15102189.0,0.0,0,4993205.0,4993205.0,34066548.0,1478041.0,1364462.0,0,555811.0,0,0,3398314.0,0,1786263.0,0,0,1786263.0,5184577.0,28881971.0,28881971.0,34066548.0,0,0,45899145.0,83610229.0,129509374.0,48115516.0,45948985.0,2166531.0,4768301.0,6934832.0,2715478.0,4219354.0,0.33,14064149.0,37658493.0
3014,WEST CARROLL HEALTH SYSTEMS  LLC,706 ROSS STREET,OAK GROVE,LA,71263,WEST CARROLL,R,107.79,"6,129",30,"10,950",768,"68,498",30,"10,950",768,2997.0,30.0,10950.0,768.0,413954.0,964310.0,888533.0,888533.0,11419286.0,15820664.0,440230.0,24006221.0,13649450.0,36445401.0,50094851.0,841274.0,420598.0,11419286.0,99920.0,0,0,145639.0,0,0,6269274.0,-2919686.0,196065.0,326068.0,0,4374087.0,0.0,0,8045.0,8045.0,8752332.0,87176.0,509673.0,267.0,0,0,517194.0,1114310.0,0,23771.0,0,0,23771.0,1138081.0,7614251.0,7614251.0,8752332.0,0,0,13648450.0,37005969.0,50654419.0,27524724.0,27239950.0,284774.0,2440857.0,2725631.0,0,2725631.0,0.48,16424984.0,7162139.0
3015,HOMER MEMORIAL HOSPITAL,620 EAST COLLEGE,HOMER,LA,71040,CLAIBORNE,R,157.73,"4,217",37,"13,542",888,"8,546",47,"17,202",911,3131.0,33.0,12078.0,888.0,0,1222337.0,568350.0,568350.0,7682494.0,23818635.0,571726.0,15002241.0,15689882.0,16242063.0,31931945.0,1556896.0,0,7682494.0,328010.0,14632.0,0,1649444.0,8573938.0,0,4431057.0,-3069038.0,338223.0,290773.0,0,12218640.0,0.0,0,340578.0,340578.0,17933391.0,5738759.0,749975.0,-2017.0,0,0,0,6486717.0,0,2940007.0,0,0,2940007.0,9426724.0,8506667.0,8506667.0,17933391.0,0,0,16178627.0,19047293.0,35225920.0,12280872.0,31501129.0,-19220257.0,19105131.0,-115126.0,0,-115126.0,0.47,19218749.0,6917204.0
3016,ST. MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVE,LEWISTON,ME,04243-0291,ANDROSCOGGIN,U,"1,104.50","22,240",140,"51,100","5,049","98,031",381,"139,065","5,670",18778.0,126.0,45990.0,5049.0,936037.0,10604272.0,5208163.0,9695985.0,92915418.0,129768245.0,4672406.0,171952290.0,189560535.0,316213393.0,505773928.0,9655251.0,0,92915418.0,2212741.0,191282.0,0,8831443.0,0,0,29292872.0,0,1734574.0,814661.0,1684683.0,61470424.0,0.0,19705231.0,2534658.0,22239889.0,145946491.0,15630198.0,11543385.0,0,2236008.0,0,1471220.0,30880811.0,0,38425487.0,0,25123.0,38450610.0,69331421.0,67545191.0,76615070.0,145946491.0,0,0,197831305.0,378445830.0,576277135.0,205745304.0,222683663.0,-16938359.0,16122945.0,-815414.0,0,-815414.0,0.34,21671329.0,90022092.0
3017,ADVENTIST REHAB. HOSPT. OF MD,9909 MEDICAL CENTER DRIVE,ROCKVILLE,MD,20850,MONTGOMERY,U,380.04,"27,937",97,"35,405","1,956","27,937",97,"35,405","1,956",27937.0,97.0,35405.0,1956.0,0,0,0,0,29956596.0,20867697.0,1015195.0,46467515.0,63320086.0,16195109.0,79515195.0,0,0,0,0,0,0,23994274.0,0,0,5839124.0,0,95929.0,111820.0,0,30109492.0,0.0,0,2178609.0,2178609.0,41578827.0,2202028.0,3089449.0,0,0,0,-167202.0,5124275.0,0,4299099.0,0,495603.0,4794702.0,9918977.0,31659850.0,31659850.0,41578827.0,0,0,63320087.0,21484309.0,84804396.0,55886868.0,50824293.0,5062575.0,1715219.0,6777794.0,2666605.0,4111189.0,,0,0
3018,SAINT VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,01608,WORCESTER,R,"1,677.00","69,094",259,"94,535","17,031","73,169",272,"99,280","17,480",57761.0,239.0,87235.0,17031.0,558453.0,19015262.0,4096094.0,13532299.0,159146062.0,275663240.0,10994030.0,361052593.0,933673833.0,1342373808.0,2276047641.0,34808791.0,0,159242787.0,803921.0,0,1413730.0,250.0,0,0,180075447.0,-86194044.0,6997123.0,2863298.0,3499125.0,107241199.0,0.0,0,26158829.0,26158829.0,407584731.0,18158719.0,2420045.0,5588545.0,5412478.0,0,8579163.0,40158950.0,5630560.0,30809760.0,0,1692515.0,38132835.0,78291785.0,329292946.0,329292946.0,407584731.0,49029262.0,10834099.0,933673833.0,1342373808.0,2276047641.0,501910963.0,434800702.0,67110261.0,6715084.0,73825345.0,0,73825345.0,0.16,56334482.0,331009449.0
3019,BILOXI REGIONAL MEDICAL CENTER,150 REYNOIR STREET,BILOXI,MS,39530,HARRISON,U,440.73,"20,699",143,"52,206","5,401","21,160",147,"53,670","6,836",16701.0,125.0,45636.0,5401.0,5876243.0,44556123.0,9789414.0,9789414.0,27484052.0,68359849.0,4983056.0,84438419.0,439684049.0,563503974.0,1003188023.0,6365226.0,0,27484052.0,475883.0,0,0,-357865.0,0,0,67112750.0,-52034826.0,3671657.0,902915.0,494237.0,19788868.0,0.0,0,4214830.0,4214830.0,69037235.0,3898927.0,1760676.0,-13294.0,0,0,3169057.0,78379838.0,0,0,0,0,0,78379838.0,-9342603.0,-9342603.0,69037235.0,2911475.0,0,439684049.0,563294692.0,1002978741.0,92358265.0,95843901.0,-3485636.0,1516213.0,-1969423.0,0,-1969423.0,0.08,13809447.0,199182282.0
3020,WAYNE GENERAL HOSPITAL,950 MATHEW DRIVE,WAYNESBORO,MS,39367,WAYNE,R,288.31,"8,440",49,"17,885","1,279","52,012",49,"17,885","1,279",4248.0,43.0,15695.0,1279.0,463129.0,5128582.0,2659024.0,2673477.0,17081187.0,12252413.0,736694.0,24548788.0,16780189.0,40470490.0,57250679.0,1925901.0,259154.0,17081187.0,0,49673.0,0,3656116.0,0,0,16348279.0,-12427257.0,359265.0,300966.0,0,8980334.0,0.0,2662537.0,200.0,2662737.0,20708538.0,477504.0,672788.0,153696.0,0,0,2655396.0,3723515.0,0,0,0,0,0,3723515.0,16985023.0,16985023.0,20708538.0,296820.0,19016.0,16976391.0,44292389.0,61268780.0,27617557.0,29333600.0,-1716043.0,1544707.0,-171336.0,0,-171336.0,0.43,4439529.0,10534232.0
3021,GARDEN PARK COMMUNITY HOSPITAL,15200 COMMUNITY ROAD,GULFPORT,MS,39503-,HARRISON,U,308.11,"9,150",100,"37,994","2,790","12,511",130,"46,928","3,138",6565.0,87.0,33249.0,2790.0,7012615.0,10873438.0,8044506.0,8044506.0,21536409.0,44481029.0,3331566.0,54149556.0,232763487.0,391722801.0,624486288.0,5268523.0,0,21437656.0,202234.0,0,0,-8838.0,0,0,23338301.0,-17929360.0,3072940.0,210778.0,0,8989947.0,0.0,1120.0,16086848.0,16087968.0,48499526.0,2122669.0,1779867.0,1558899.0,36245.0,0,128253.0,5625933.0,0,143975.0,-29927484.0,294406.0,-29489103.0,-23863170.0,72362696.0,72362696.0,48499526.0,0,0,232763487.0,391722802.0,624486289.0,57462299.0,65979574.0,-8517275.0,980551.0,-7536724.0,-12.0,-7536712.0,0.09,10099614.0,133682169.0
3022,MERIT HEALTH WOMANS HOSPITAL,1026 NORTH FLOWOOD DRIVE,FLOWOOD,MS,39232,RANKIN,U,152.49,"5,136",34,"12,410","1,267","5,136",34,"12,410","1,267",2032.0,18.0,6570.0,1267.0,63871.0,636140.0,144206.0,370029.0,10088213.0,20118290.0,2495136.0,27770914.0,67068685.0,156370908.0,223439593.0,2584992.0,0,10088213.0,5950.0,0,0,11436.0,0,0,9068344.0,-2074345.0,621022.0,362300.0,39010.0,8027767.0,0.0,0,2607735.0,2607735.0,28236600.0,568741.0,898721.0,94284.0,379650.0,0,398082.0,14101821.0,0,-2778.0,0,873485.0,870707.0,14972528.0,13264072.0,13264072.0,28236600.0,15755.0,0,67068685.0,156370908.0,223439593.0,32350378.0,30206503.0,2143875.0,13699.0,2157574.0,0,2157574.0,0.12,2172447.0,29864746.0
3023,LIBERTY HOSPITAL,2525 GLENN HENDREN,LIBERTY,MO,64068,CLAY,U,"1,370.00","32,557",195,"71,370","7,184","52,064",216,"79,056","7,184",25522.0,175.0,64050.0,7184.0,1123680.0,35380113.0,11033287.0,11033287.0,108738542.0,124065905.0,14864981.0,166334627.0,323414377.0,361097519.0,684511896.0,14408104.0,0,109532915.0,4447203.0,14878.0,0,20166830.0,1481008.0,0,20979058.0,0,3520105.0,3521258.0,0,50698758.0,0.0,102634923.0,9988476.0,112623399.0,257340672.0,8115202.0,12831908.0,0,4272703.0,20203.0,3739001.0,40006996.0,0,25976411.0,0,0,25976411.0,65983407.0,191357265.0,191357265.0,257340672.0,0,0,327611679.0,432960952.0,760572631.0,242753830.0,233811733.0,8942097.0,21363467.0,30305564.0,50393756.0,-20088192.0,0.24,7878915.0,45121867.0
3024,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011,AMADOR,U,886.38,"49,445",165,"60,225","13,525","49,445",165,"60,225","13,525",35154.0,125.0,45625.0,13525.0,4893619.0,42878635.0,8606894.0,25839277.0,64919566.0,171053555.0,20061909.0,171082040.0,1325024394.0,951699719.0,2276724113.0,16519736.0,0,66548636.0,2374381.0,0,93868.0,-988562.0,0,0,101700714.0,-64871355.0,5509902.0,1340804.0,0,42881561.0,0.0,0,10899911.0,10899911.0,221042397.0,6079064.0,4748507.0,0,0,0,689406.0,11516977.0,0,0,135463522.0,0,135463522.0,146980499.0,74061898.0,74061898.0,221042397.0,25274449.0,229526.0,1325024394.0,951699719.0,2276724113.0,225928592.0,180485089.0,45443503.0,1578747.0,47022250.0,0,47022250.0,0.08,22795038.0,542437069.0
3025,SOCORRO GENERAL HOSPITAL,1202 HIGHWAY 60 WEST,SOCORRO,NM,87801,SOCORRO,R,154.14,"2,041",24,"8,760",416,"8,814",24,"11,569",416,1112.0,24.0,8760.0,416.0,988643.0,566628.0,1760165.0,1762426.0,14509069.0,14508485.0,1191823.0,22119401.0,7666686.0,37503550.0,45170236.0,0,0,14411448.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8445384.0,46998368.0,55443752.0,24800521.0,29017558.0,-4217037.0,1920546.0,-2296491.0,0,-2296491.0,0.49,6224157.0,17020316.0
3026,ST. PETERS HOSPITAL,315 S. MANNING BLVD.,ALBANY,NY,12208,ALBANY,U,"2,978.20","128,787",482,"176,412","25,333","128,787",482,"176,412","25,333",108436.0,445.0,162870.0,25333.0,1461157.0,17537652.0,6840559.0,16155697.0,228312784.0,369429566.0,14492331.0,504282930.0,1029138625.0,956705720.0,1985844345.0,38932721.0,0,213500855.0,11290167.0,49337.0,42256.0,6125588.0,144402964.0,0,191920400.0,0,10910008.0,1140153.0,1103175.0,238629976.0,0.0,0,94085576.0,94085576.0,585542935.0,35986940.0,25979602.0,0,5814591.0,0,66160711.0,138885122.0,0,2328334.0,0,166341793.0,168670127.0,307555249.0,261779765.0,277987686.0,585542935.0,64743825.0,1353808.0,1027977062.0,1008640694.0,2036617756.0,592703686.0,591348117.0,1355569.0,55111385.0,56466954.0,0,56466954.0,0.25,51672284.0,242822156.0
3027,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVE AT PARSONS BLVD,FLUSHING,NY,11355,QUEENS,U,"1,690.03","61,994",247,"90,155","13,356","67,416",271,"98,915","13,723",52265.0,233.0,85045.0,13356.0,8213847.0,8238392.0,11970865.0,41850852.0,133752505.0,148613317.0,10435725.0,225819614.0,301345353.0,190020787.0,491366140.0,41346317.0,0,133752505.0,0,626016.0,3342907.0,3777000.0,0,0,35774000.0,-14230000.0,3679000.0,0,1457000.0,49114000.0,0.0,0,38778000.0,38778000.0,125515000.0,30302000.0,18468000.0,0,2376000.0,0,49492000.0,100638000.0,0,0,0,166357000.0,166357000.0,266995000.0,-141480000.0,-141480000.0,125515000.0,14256408.0,5185807.0,301345352.0,190020787.0,491366139.0,216444177.0,282365822.0,-65921645.0,52169055.0,-13752590.0,0,-13752590.0,0.46,79403716.0,255141073.0
